sr,name,branch,phy,chem,maths,ai,tw,dob
2,Miguel Gibson,MECHANICAL,43,71,218,67,7,2/15/2002
3,Diane Griffin,ENTC,58,69,53,21.6,7,4/5/2001
4,Leigh Taylor,MECHANICAL,,71,252,84,2,5/7/2002
5,Cecelia Arana,COMPUTER,41,68,283,21.4,2,12/19/2001
6,Darnell Arredondo,COMPUTER,72,30,20,19.1,10,5/14/2003
7,Twyla Brown,COMPUTER,47,46.6,61.6,85,9,4/3/2003
8,Fernando Lai,COMPUTER,,4,68.2,33.2,2,3/28/2002
9,Tim Palmer,ENTC,35,,51,62,4,8/7/2001
10,Rachael Gaff,COMPUTER,,95,51,22.4,9,5/27/2003
11,Larry Ricardo,COMPUTER,50,60,19,22.9,5,6/7/2002
12,Fermin Smith,MECHANICAL,51,47.2,14,39,10,6/9/2003
13,Chad Seibert,MECHANICAL,50,71,40,61,7,9/24/2001
